Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,org.ethereum.sync.BlockDownloader.init.(Anon_2).run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,,,,3,0,2,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.isDownloadComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.isSyncDone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Protected Method,org.ethereum.sync.BlockDownloader.isValid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,,,,3,1,1,,,8,,,,,,,,,2,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,2.67,,,,
Protected Abstract Method,org.ethereum.sync.BlockDownloader.pushBlocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,1,1,0,,,0,,,,,,,,,0,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Protected Abstract Method,org.ethereum.sync.BlockDownloader.pushHeaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,1,1,0,,,0,,,,,,,,,0,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.setBlockBodiesDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.setBlockQueueLimit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.setHeaderQueueLimit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,org.ethereum.sync.BlockDownloader.setHeadersDownload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,3,1,1,,,0,,,,,,,,,1,1,0,1,2,1,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
