Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLineInactive,CountLine_Javascript,CountLine_Php,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,3,,18,,,18,,4,,4,,,,25,,,,,4,1,,,2,2,,,10,10,,3,3,4,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,3,,18,,,18,,4,,4,,,,25,,,,,4,1,,,2,2,,,10,10,,3,3,4,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,5,,5,,34,,,34,,7,,7,,,,46,,,,,15,1,,,5,5,,,18,18,,6,6,6,1,,,,,,,,,,2,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9,,9,,24,,,24,,7,,7,,,,40,,,,,3,0,,,4,4,,,15,15,,3,3,3,1,,,,,,,,,,2,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,9,,9,,24,,,24,,7,,7,,,,40,,,,,3,0,,,4,4,,,15,15,,3,3,3,1,,,,,,,,,,2,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,6,,16,,,16,,5,,5,,,,27,,,,,4,1,,,3,3,,,9,9,,3,3,6,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,,5,,15,,,15,,4,,4,,,,24,,,,,4,1,,,3,3,,,8,8,,3,3,6,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3,,3,,26,,,26,,6,,6,,,,35,,,,,8,1,,,2,2,,,15,15,,5,5,11,1,,,,,,,,,,2,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,3,,18,,,18,,4,,4,,,,25,,,,,4,1,,,2,2,,,10,10,,3,3,4,1,,,,,,,,,,1,,,,,,,
Function,$.fn.markdown.defaults.buttons.data.callback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3,,3,,18,,,18,,4,,4,,,,25,,,,,4,1,,,2,2,,,10,10,,3,3,4,1,,,,,,,,,,1,,,,,,,
Unnamed Function,$.fn.markdown.defaults.buttons.data.callback.(unnamed_function_30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0,,3,,,3,,0,,0,,,,3,,,,,1,0,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,0,,,,,,,
